ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
8340540,HT569696,10/29/2011 10:00:00 AM,013XX N CLEVELAND AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1821,18,27.0,8.0,08A,1172741.0,1909397.0,2011,02/04/2016 06:33:39 AM,41.906823047,-87.640885421,"(41.906823047, -87.640885421)"
8303448,HT536738,10/10/2011 07:24:00 PM,044XX W GLADYS AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,1131,11,24.0,26.0,08A,1146879.0,1897987.0,2011,02/10/2018 03:50:01 PM,41.87604633,-87.736179395,"(41.87604633, -87.736179395)"
8300232,HT534287,10/09/2011 03:09:00 AM,0000X E CHESTNUT ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1833,18,42.0,8.0,08B,1176323.0,1906330.0,2011,02/10/2018 03:50:01 PM,41.898326955,-87.627820055,"(41.898326955, -87.627820055)"
8323195,HT557586,10/24/2011 04:20:00 PM,017XX W 81ST ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,611,6,21.0,71.0,05,1166290.0,1850986.0,2011,02/10/2018 03:50:01 PM,41.746677612,-87.666248539,"(41.746677612, -87.666248539)"
8271875,HT489243,09/09/2011 07:30:00 PM,017XX N MELVINA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2513,25,29.0,25.0,08B,1134811.0,1910832.0,2011,02/10/2018 03:50:01 PM,41.911516547,-87.7801855,"(41.911516547, -87.7801855)"
8284597,HT518923,09/26/2011 04:30:00 PM,064XX S MOZART ST,0810,THEFT,OVER $500,RESIDENCE,False,True,823,8,15.0,66.0,06,1158485.0,1861877.0,2011,02/10/2018 03:50:01 PM,41.776726654,-87.694551831,"(41.776726654, -87.694551831)"
8323218,HT557726,10/24/2011 05:42:00 PM,021XX W 52ND ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,915,9,16.0,61.0,24,1163067.0,1869995.0,2011,02/10/2018 03:50:01 PM,41.798908877,-87.677527318,"(41.798908877, -87.677527318)"
8201048,HT435472,08/02/2011 12:01:00 AM,019XX S DRAKE AVE,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,False,True,1024,10,24.0,29.0,02,1153060.0,1890098.0,2011,09/07/2021 03:41:02 PM,41.85427778,-87.713693842,"(41.85427778, -87.713693842)"
8154129,HT388804,07/09/2011 02:30:00 PM,048XX W NORTH AVE,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,False,2533,25,37.0,25.0,06,1143915.0,1910200.0,2011,02/10/2018 03:50:01 PM,41.909616287,-87.746755729,"(41.909616287, -87.746755729)"
8289599,HT522822,10/01/2011 12:30:00 PM,051XX W GEORGE ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,False,False,2521,25,31.0,19.0,14,1141512.0,1918794.0,2011,02/10/2018 03:50:01 PM,41.933243891,-87.755370659,"(41.933243891, -87.755370659)"
